text,label
荣华大药房提醒您：小满过后，气温增高，请注意调整日常饮食起居，防热除湿。22、23会员日超二千款商品八五折，欢迎选购。4053899【荣华】,1
巧虎六一促销开始了，即日起订购巧虎开心成长系列，双重好礼拿不停。详情请登录shop.qiaohu.com或拨打客服热线。【乐智小天地】,1
85233 FREE>Ringtone!Reply REAL,1
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,0
200万起！23万平稀缺生态湖居别墅，泛舟垂钓畅享田园风情，第二机场经济圈内，40分钟直达国贸，9月即可入住4000033336【颐湖庄园】,1
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0
"""核心价值、财富地位""，首选嵩明【龙源花园-街墅】！投资、居住好选择，绝版现楼优价欢迎您莅临品鉴！详询：67928045【迅达】",1
纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mhd/hQp8j,1
好消息：武义英皇国际（原香格里拉）娱乐会所特大酬宾！所有啤酒买两箱后免费畅饮不限量。顶级佳丽倾情演绎！见活动海报预定热线【87877999】,1
手机杂志（宠物版）QQ水浒1周岁啦!N多礼包免费等你拿!大家快去领取吧！详情：pet.qq.com/apps/qqsh,1
My drive can only be read. I need to write,0
据说，每个人一生大概会遇到2920万人，而两人相爱的概率仅为0.000049。原来爱情堪比中大奖！这就可以解释“为何当爱情来临，人们时常慌乱无章、患得患失”。当一份太大的幸运被捧在手心，实在令人无法不紧张。拥有爱情，要好好珍惜，一直幸福哦！,1
您为《重口味心*支付2.00元，付款校验码：7208【任何人向您索取校验码均为诈骗，请勿泄露】【支付宝】,0
兰州银行，国有银行，开业一年，个人存款突破5亿元。存款利率高，免费项目多，欢迎惠顾。询8332226 金昌日报社旁[兰州银行金昌分行],1
尊敬的会员，尚品三周年店庆感恩回馈再延一天至21日24点！优惠继续、热力不减！赶快登陆shangpin.com尊享不容错过的精彩![尚品网],1
Then why you came to hostel.,0
益:我只想见你，不想打扰你，真的，就是怎么样，在一起怎么久了，见面都是可以的吧！,1
"晟汇：贺上周五建仓600428中远航运,今天现冲高获利9％，请内部客户准备运行出仓.下午建仓专线4006689812金 老 师【晟汇投 资】",1
It is a good thing I'm now getting the connection to bw,0
Hi happy birthday. Hi hi hi hi hi hi hi,0
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",1
Ok... Ur typical reply...,0
【优酷会员】黄渤变钢铁侠制造惊天危机，赵又廷林更新搭档演绎绝地重生。《痞子英雄2：黎明升起》优酷全网首播，小鲜肉男神团不要错过哦。,0
好消息：沪深A股T十0双向交易，可现买现卖、可买升买跌，杠杆10倍，在线立即开户，最佳平台请登入:www.008556.com,1
Yeah my usual guy's out of town but there're definitely people around I know,0
How's ur paper?,0
"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",1
嗨~亲！欢迎您首次访问联通WO+分享平台，点击连接即可成为会员享受联通最新优惠，每天参加幸运大抽奖，奖品多多iphone4s送不停喔。 http://t.17wo.cn/N92i61,1
点击链接，即可激活您的淘宝账号，完成注册 http://u.m.taobao.com/r/7jk6ra3ue5j.htm【淘宝网】,1
知名女星疑卷入刘铁男贪腐案-图[新华]-中国移动冲浪助手:http://go.10086.cn/nd/m9S/qwJ8O,1
近期有骗子利用拨号软件模拟与完美VIP相同号段5885XXXX行骗，骗子谎称有人要修改您的资料，后索要注册信息，进而盗取账号。请牢记官方不会向您索要账号信息。如遇可疑，可致电完美VIP热线01058859173核实，谨防受骗。-12:58-[完美世界],1
Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,0
财富早间版：证监会发布优先股试点管理办法上证50成分股入选。上周五市场上涨得到了热点板块及量能配合，管理层呵护市场意图明显后市向好。金融、煤炭板块业绩优良前期回调充分，可适当配置受益优先股政策的中信证券、潞安环能。投资建议仅供参考。【招商证券】,0
快速办 理大/学专 科本 科，资 格证，一二级 建造 师等国， 家承认，网 上可查，询18676341869王,1
您的爱车需要代理年检吗？您的爱车想要寄售吗？您想选购精品实惠的二手车吗？代理年检不收取任何附加服务费，真正的免费服务，苍南五田喜悦二手车专员一对一全程陪同服务。现苍南五田二手车寄售专区已隆重落成，敬请莅临寄售或选购爱车。详询：15658785776；15658785718；QQ群：294651391【五洲汽车】,1
楼上赏湖、楼下戏水！墅区高层，武清品质蓝印！69-87平通透两居，超市幼儿园中小学公交车商业街俱全，巨惠1万抵5万团购进行中82185555,1
您好！您已开通4G上网功能，使用4G手机即可享受4G高速上网，畅享上网乐趣。4G网速较快，建议您升级至和4G套餐，流量更多更优惠、超值畅享更放心，回复8888办理。并实时关注流量提醒短信，超出套餐后及时订购加油包。中国移动,0
"""尊敬的全球通客户，您2014年09月份话费165.30元，其中：",0
唐僧为什么能当领导？原因有四：1、有崇高的信念（西天取经，至高无上。好借口）。2、懂得用人（三位徒弟，各有所长。好解难）。3、有仁慈之心（人妖不分，统统善待。好口碑）。4、有良好的人际关系（人神两界高层都有关系。好办事）！,1
[PUSH]-手机变成游戏机，百款游戏免费享，成为中国移动游戏会员，精彩游戏,1
您尾号1984的浦发信用卡本月账单人民币877.01、美元0.00。到期还款日08月15日。回复ZDFQ（空格）卡号末四位/待续【浦发银行】,0
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,1
移动号码不换，惊喜接连不断。移动号码用户交799元得540元话费+千元智能手机+平板电脑。活动前所未有，名额有限。预定电话：13966622777，地址：岳西县南园大道。,1
纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh5/10uzSY,1
Bring it if you got it,0
"双色球 第2014029期实战9+3专家推荐:红球09,13,14,15,22,23,26,28,31；蓝球02,11,14。上述内容仅供参考，不保证中奖。双色球自选回“S#投注号码*倍数”（投注号码为6个红球1个蓝球，多注用#隔开，最大为5注）。帮助回H。本期截止时间为19:23，22:00后回复购买下期。【中国移动手机彩票】",0
【招商证券】财富收盘版：上证指数盘中激烈震荡后再收小阴线，十日均线失守表明市场短期趋弱。调整仍未结束，应适当控制仓位保持谨慎。仅供参考。,0
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,1
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,0
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",0
K..k:)how much does it cost?,0
【支付宝】校验码：356706，切勿泄漏给他人，如非本人操作，建议及时修改账号密码。,0
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",0
"【买4G就上www.10010.com】""",0
Thank you. I like you as well...,0
王者地段，投资首选【泉景天沅】4.95米挑高LOFT，45万/套起，低总价，投资收益有保障。排号认筹火爆进行中66696666,1
美女失恋后做整容手术反被毁容  http://g.wo.com.cn/g2c/9qgsIV&h=1&f=a11zU,1
美的空调“一晚一度电一年抢一回”存50抵四百至三千元1P冷暖1799更多惊喜17-19日市内各美的空调专柜13753510583【美的】,1
"What i mean was i left too early to check, cos i'm working a 9-6.",0
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,0
医讯：河南省电视台携手河南省医药院附属医院联合北京专家，每月征集10名不孕不育等疑难杂症免费诊疗，报名电话：037167196666,1
Ok i vl..do u know i got adsense approved..,0
My phone,0
东莞电信新总部旗舰店感恩盛宴最后3天，钜惠不容错过：苹果4S历史最低价2488，小米2最低价1199，4.5寸华为8813最低290元，加微信号xinxidasha享更多优惠询 4008305880 以上优惠须新开相应套餐并预存相应话费,1
亲，手机不只能上网哟！最热门的应用软件推荐，更有最新的天津移动优惠活动，各种奖品等你来拿，快来访问 http://wap.3gtianjin.com/app/index.jsp?mobiletype=2&changeday=7,1
精彩免费软件推荐：您是否为手机速度越来越慢而深感烦恼呢？别担心，安卓优化大师帮您优化系统、清理内存！让手机运行的更加平稳和流畅！http://180.3gbc.cn/?a=125581,1
亲爱的常常思念，您购买的第2013057期双色球已中奖，奖金为10.00元。请登录财付通彩票查看详情。【财付通】,1
【国美在线】Dear 13811168809，您的退款申请已通过审核！银行正在为您退款，储蓄卡3-5工作日、信用卡5-15工作日可到账！请注意查收哦！,0
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),0
【3G服务小贴士】手机刷微博、看视频，流量不够怎么办？快去流量便利店！最全面、最优惠、最便利的掌上流量超市  http://58.223.0.71/2173AJX  订包送积分、积分抽大奖，话费、京东卡、三星微单等你赢!,1
Were gonna go get some tacos,0
"财付通验证码009218(泄露有风险),您于08:40使用尾号4842的招商银行卡发起交易8.53元【财付通】",0
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",1
温馨提示，截止9月7日24时，您当月套餐内流量已使用4.49MB，剩余流量295.51MB。登录 wap.10010.com 直充话费，方便又打折!,0
纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mgP/10bBsV,1
恒隆电器即日起五一大降价，松下空调大1.25匹1999元索尼40寸2999元TCL32寸网络1499元冰洗5折起，询6526397【恒隆】,1
发财日到，脸上要发笑，事业会发达；快乐要发扬，幸福会发光；请客要发起，友情会发展；短信要发转，财源会发现；请你别发愣，318，一定要发哟！,0
This pay is  &lt;DECIMAL&gt;  lakhs:),0
[手机电话]: +8615011194254,0
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,1
信息时代掌握什么最重要？当然是信息啦！高考前3-5天，预测信息，押题猜题，我们每年让一部分人点“试”成金！83608552状元宝丰路,1
相亲网，用户ID:32783047，男，已给您发送秋波，请及时把握您的缘分！婚恋热线 4000520019[相亲网],1
诺心芒果季上市！芒果流心，芒果芒果，芒果拿破仑。5.31前优先体验有惊喜！www.lecake.com【诺心LECAKE】,1
9月份即将开学，还在为孩子找学校苦恼吗？中豪泛亚国际－云师大附属学校15年优质教育，从幼儿园至高中一站式学校教育67338888【中豪置业】,1
您好；代开增值，普通，服务，建筑，运输，广告等单据，点数低联系人杨15000199208,1
飞信短信费：0.30元,0
专业提供橱饰软件定制和短信群 发服务。祝您周末愉快、生意兴隆！电话15882023697 qq5402135【成都好易捷软件】,1
I accidentally deleted the message. Resend please.,0
null现在淘宝评价也能赚钱了，在给卖家评价的时候只需加入推广语即可得到高佣金，快来赚钱吧详情进入www.pingjiaw.com！ 【鸿利电子商务】,1
"【百度】【百度外卖】尊敬的陈广大先生,您的木桶三国（现代城店）外卖订单已被确认,请耐心等待配送。本次外卖服务由木桶三国（现代城店）提供,餐厅电话:010-85890668",0
Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,0
纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh0/WCLzt,1
Ya very nice. . .be ready on thursday,0
您尾号7544卡29日19:49网上银行支出79元。【工商银行】,0
Missed call alert. These numbers called but left no message. 07008009200,1
4444,0
订单号E249419033，陈先生您已购06月03日D43次03车10C号大连北14:48开。请尽快换取纸质车票。【铁路客服】,0
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1
您尾号7544卡16日10:44网上银行支出1.80元。【工商银行】,0
我们一直在努力，只为您“10”分满意！ 邀请您参加10086热线用户满意度调研，总体而言，您会怎样评价北京移动10086热线的整体质量呢？请回复中文“分”+数字进行评价，例如:“分10”。10满意、9一般，8以下不满意。,0
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,0
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,1
No problem baby. Is this is a good time to talk? I called and left a message.,0
东易日盛装饰集团强势进驻上海，定于5月26日13：00东方路969号中油阳光大酒店31楼宴会厅面向全市征集50套样板房活动，每套最高优惠12万！名额有限，先到先得，机会难逢，绝无仅有！详情登入官网http://sh.dyrs.com.cn/,1
Ugh my leg hurts. Musta overdid it on mon.,0
您尾号1984卡已成功签约快钱快捷支付，后续凭快钱账户的支付密码即可支付。如有疑问，请尽快办理账户挂失或致电95528。【浦发银行】,0
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",0
贺昨带学员建【万业企业】今已拉6出局，今日指导学员建【时代万恒】明早有望冲停板，请全国散户共同见证！热线：4006547800【南易基金】,1
今带学员建【600428中远航运】下周一必涨5以上！合作双赢才是硬道理！预约下周一午盘建 仓内线致电：020-29126488【锦鸿理财】,1
怡景书香二号楼、三号楼、四号楼五月开盘！5月22日起增值计划起动，购房最高赠送51800元！详询6908888 6906777【怡景房产】,1
尊敬的用户您好，联通为您推荐一首深情炫铃：你的窗外（0元），请拨10156789按7号键试听满意下载。,1
“99真人”两周庆，存500送300，疯狂优惠，再次来袭，百家乐~体育投注等，免费开户，详情请上网址：www.87885.com,1
"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",0
精彩免费软件推荐：“爱动漫”，上万部高清精品动漫作品让你好看，流畅观看让你鸭梨不再大，海量DIY动漫彩信想发就发！http://180.3gbc.cn/?a=125741,1
纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh9/9HkrA,1
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,0
（2/2）或点击http://fancy.189.cn/portal/bill/2012152/1978848 查看,1
买别墅赠电梯！万科白沙润园约203—230㎡城市联排别墅热销昆明，最后十席特惠加推赠品牌别墅电梯，错过不再有详询63801888【万科】,1
食神锅温馨提示：尊敬的姜先生：您好！您今天中午12:30在本店订2人位置为您保留15分钟后，现已为您自动取消。欢迎您下次光临。美食专线：0857-87046999.品享地址：杭州上城区中河中路7-9号（鼓楼北教堂旁）行车路线：中河高架望江路口右转两米左右小路进入，店前有停车位。届时恭候光临，谢谢！,0
"购买开盘洋房产品有机会获得欧洲十日游,东方今典境界99-226㎡洛河绝版电梯洋房，现房2万抵5万日进千金65622777",1
12月底拨4006832233成交携程酒店享双倍积分，送外交官箱包 http://t.ctrip.cn/a2HOeY 回T退订【携程】,0
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,1
Missing you too.pray inshah allah,0
1元换购短T短裤，返现返利返双倍积分，4.29官网3折为你出游提前放价 http://justyle.com/ .[JUSTYLE],1
沃3G伴您欢乐度长假！五一时节，与亲友一同狂享3G大礼吧！分享应用给亲友，就有惊喜来敲门！点击加转发，iPhone大礼在眼前！       http://hao.hb165.com/i/1/UkKzvExC,1
Nope... C Ì_ then...,0
汶川五年回眸:可乐男孩成老板[人民]-中国移动冲浪助手:http://go.10086.cn/nd/m18/Solm8,1
仁恒河滨花园急售216平1000万163平760万152平760万242平1150万带车位，周末看房15802113524郑经理【房源推荐】,1
"双色球 第2014095期开奖号码:05,06,08,14,22,31:08。双色球自选回“S#投注号码*倍数”（投注号码为6个红球1个蓝球，多注用#隔开，最大为5注），回复HS获取更多双色球帮助信息。其他彩种帮助信息回复“H+彩种代码”，如回HD获取大乐透帮助信息。【中国移动和包彩票】",0
"K, can that happen tonight?",0
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,1
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1
5.24-26在新玛特刷建行卡享购物折扣，单票满200元可参加实物金抽奖，建行信用卡分期再享97折优惠，询6695533-2【大庆建行】,1
移动517电信日冰点价派送智能机！799元=品牌双卡双待大屏智能手机+液晶电视+电炖锅+360元话费！还有现场幸运大抽奖！本周五至周日乾坤购物门前询2081288【孝感移动公司】,1
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,0
Oh yeah clearly it's my fault,0
安徽2013一级建造师5月20日-29日报名，【省委党校】城建培训免费代报，6月2日开课，先过关后付费，拿证无忧0551-64666405,1
微信电话本验证码:5824(有效时间30分钟，如您已成功启用，请忽略此条信息)[腾讯科技],0
【众信旅游】会员您好，俱乐部邀您周六下午出席“西伯利亚明眸”风采影展，中国纪实摄影协会理事李晨曦先生现场讲解拍摄知识技巧；報名回U，退订回T,0
【国美在线】会员您好【三星平板599元起】联想i3独显2G本仅2628元，28周年店庆低价来袭 t.cn/RzqlVAu 退订回T,0
Google 帐户 star930721@gmail.com: 密码已更改。请参阅 google.com/password,1
Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,0
订单状态更新：租房大扫除已完成，请评价阿姨的服务【阿姨帮】,0
移民比留学更省钱。美投资移民全家获绿卡，享高额医疗养老福利，子女免费读美名校。21日10点环球中心10楼。85865226【杭州亨瑞信息】,1
【拉菲1987】79-120平中庭法式景观豪宅新品4230元起全城发售，踞北城中央，尊电梯直接入户，享全中庭大间距，别无他处88807000,1
"【南航】尊敬的南航旅客，我们很抱歉的通知：您原订2014年11月02日21:40起飞，23:05到达的南航CZ6131  大连飞北京的航班变动，现更改到11月03日08:00起飞，09:20到达的CZ6125航班大连飞北京。旅客：陈广大,票号：7842145646662，给您带来的不便我们深表歉意！同意更改航班请回复“是”（注：同意更改航班后，如需再次变更或退票，均按自愿变更或退票处理），退票请回复“退”或在原出票网站提交退票（注：一旦退票，客票将不能恢复使用）或致电南航服务热线：4006695539办理此业务。",0
招商银行大众版网上支付验证码：694024。支付金额1706.00元。请勿将验证码告知他人并确认支付网址为合法的招商银行网址！[招商银行],0
Pls dont restrict her from eating anythin she likes for the next two days.,0
Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,0
"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",0
深圳一电梯失控 女护士被诡异夹死[21CN]-中国移动冲浪助手:http://go.10086.cn/nd/m8e/a9f6E,1
为回馈贵宾对ochirly品牌的大力支持，拱北店一楼5.21-26号举行特卖活动，货品2-5折，详询：0756-225633【华润万家】,1
“东方威尼斯，宜居新金堂”金堂精品房产亮相2013‘德阳房车家装展。更多优惠和购房直通车活动，详询：4000607337,1
温馨提示：截止07月27日20时，您当月3G主套餐内流量已使用271.97MB，剩余流量28.03MB，超出部分国内流量（不含港澳台）将按0.0003元/KB收费。为节省您的上网费用，建议您选购流量叠加包，当月申请立即生效，逐月自动续订。（发送LJKT3GLL，可了解套餐详情并完成订购）。 登录联通手机营业厅wap.10010.com，查询、交费、充值，方便又实惠!,0
美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/16Mp4O,1
"亲爱的魅友们，12月23日14时30分, 魅族将携全新品牌与您见面，敬请关注。直播链接：www.meizu.com 回复TD退订",0
Yup next stop.,0
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,0
您尾号4118的信用卡06日19:03消费人民币433.00元。送你麦当劳单人餐，快领 t.cn/RztGpiL 。[招商银行],0
宝业.梦蝶绿苑2期景观高层公开认购，蒙城城南核心地段。精品三房、舒适四房隆重上市！定金2万抵用3万，多重大礼华彩开启0558-7856999,1
美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgM/avXlh,1
Yeah we do totes. When u wanna?,0
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,0
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,1
Goodmorning sleeping ga.,0
【北京招行】招商银行北京通州支行（位于通州区九棵树中路7号）于12月22日开业，欢迎来行办理储蓄、理财、公司等业务。详询56865632,0
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",0
5月25日13:30，中国雅思考情峰会，现场解读2013雅思考试趋势及命题规律，赠送高分备考手册，详询87556990【杭州朗阁】,1
永讯传媒短信广告，低价位诚招南昌市代理商（可兼职）可筛选消费、年龄、单位低门槛创业。咨询：15907001539小席【资讯】,1
上海大智慧每天公布一只内线好股，日总收益不低于6利润！网址：www.436333.com验户：666密：666【大智慧】,1
千万级人流聚集核心，众多品牌进驻全方位商业环绕，世界500强运营，即买即租坐等收益！咨询4000116928,0
I wont get concentration dear you know you are my mind and everything :-),0
"昨建[000060中金岭南]高开拉 升5!今买明卖稳定盈利!咨询02029180768或回复8跟大资金操作,股市有风险投资须谨慎[金鼎]",1
